TRTID10,decade,R_VAC,HU_ln,P_NONWHT,a_hinc
39035106200,1980,17,7.605392365,0.034164941,6.456922826
39035106200,1990,118,7.321849714,0.338028169,2.878404595
39035106200,2000,200,7.492760301,0.333887438,3.361025618
39035106200,2010,226,7.833600224,0.492227157,4.6401
39035106300,1970,30,7.173191742,0.00287091,5.093588087
39035106300,1980,10,6.822197391,0.04841963,6.867569776
39035106300,1990,230,7.360103973,0.351755675,2.766268004
39035106300,2000,281,7.471932078,0.392265218,3.537540652
39035106300,2010,283,8.454040376,0.365485619,7.4846
39035106400,1970,13,6.326149473,0.003858317,4.217925154
39035106400,1980,6,7.461065514,0.016991503,9.552299595
39035106400,1990,152,7.537430037,0.36928702,2.525523615
39035106400,2000,225,7.607381426,0.391575663,3.050682742
39035106400,2010,200,7.850493181,0.994099504,2.0427
39035106500,1970,22,7.065613364,0.000921942,5.437071511
39035106500,1980,11,7.160069208,0.020586734,7.669332832
39035106500,1990,418,7.583756301,0.417002355,2.97534348
39035106500,2000,458,7.805067044,0.414031556,3.05718654
39035106500,2010,122,7.064759028,0.86943879,3.84
39035106600,1970,36,7.37337431,0.002844639,4.782699353
39035106600,1980,5,7.31521839,0.019353633,8.66440078
39035106600,1990,133,7.33171497,0.513808397,2.831275068
39035106600,2000,120,7.427144133,0.619497979,3.181080725
39035106600,2010,50,5.869296913,0.819787986,2.0724
39035106800,1970,16,6.148468296,0.002082249,5.134682105
39035106800,1980,26,7.608374474,0.030492337,5.352546816
39035106800,1990,117,7.387709239,0.492900831,3.233744654
39035106800,2000,158,7.35436233,0.575717704,3.833060808
39035106800,2010,84,6.830874235,0.62360304,4.4
39035106900,1970,23,6.97354302,0.002905538,4.969523161
39035106900,1980,26,7.576097341,0.026579304,6.9310386
39035106900,1990,80,7.481555702,0.594731903,2.283252001
39035106900,2000,104,7.483806688,0.747947535,2.037120922
39035106900,2010,306,7.795646536,0.691759919,3.25
39035107000,1970,62,7.73280753,0.002546024,5.043763866
39035107000,1980,15,7.37337431,0.014762185,8.004618969
39035107000,1990,78,6.785587645,0.378636741,2.48250614
39035107000,2000,96,6.797940413,0.319550562,3.528831569
39035107000,2010,133,6.697034248,0.836962025,2.0417
39035107101,1970,3,4.442651256,0.11092937,1.008292626
39035107101,1980,2,6.786716951,0.015583621,7.990538313
39035107101,1990,142,7.436617265,0.854794334,1.308184835
39035107101,2000,164,7.418780883,0.897310077,2.11372516
39035107101,2010,327,7.905810313,0.244075049,4
39035107701,1970,44,6.628041376,0.228108455,2.296218897
39035107701,1980,11,7.443663683,0.025586334,7.36385156
39035107701,1990,186,7.624618986,0.307606429,3.017981271
39035107701,2000,195,7.795646536,0.303399148,4.001076823
39035107701,2010,260,7.404279118,0.264078732,2.6745
39035107802,1970,141,6.994849986,0.217668422,2.595412974
39035107802,1980,16,7.576609767,0.028507346,6.815672487
39035107802,1990,135,7.199678346,0.006658596,3.718189215
39035107802,2000,158,7.303843225,0.014488636,4.133080189
39035107802,2010,208,7.270312886,0.602346041,2.2556
39035108201,1970,100,7.023758955,0.034423097,3.751000801
39035108201,1980,26,7.736307097,0.027874583,7.093676188
39035108201,1990,231,7.173191742,0.010576222,3.359138311
39035108201,2000,233,7.270312886,0.018499855,4.005263252
39035108201,2010,255,7.508238775,0.29985687,4.0833
39035108301,1970,122,7.353081921,0.10702977,2.951395691
39035108301,1980,13,7.167809184,0.032598498,6.355012284
39035108301,1990,228,7.369600721,0.031583068,1.839909667
39035108301,2000,253,7.44716836,0.059208476,2.504454746
39035108301,2010,363,7.669495251,0.518650461,2.8836
39035108400,1970,100,6.90475077,0.023581135,3.074146899
39035108400,1980,29,7.551712215,0.038023848,6.276649341
39035108400,1990,72,7.385230923,0.02028451,5.144794896
39035108400,2000,104,7.497761701,0.052240717,4.276721101
39035108400,2010,290,7.640123173,0.23935743,2.7591
39035108701,1970,499,8.343791732,0.777502532,1.507977496
39035108701,1980,18,7.102499356,0.04186949,5.946873928
39035108701,1990,232,7.934155234,0.029066653,2.557102012
39035108701,2000,290,8.022240917,0.053071776,2.912071101
39035108701,2010,297,7.931284762,0.411703239,4.7955
39035109301,1970,253,6.850126166,0.704714852,1.565762179
39035109301,1980,51,7.434257382,0.083144217,4.26271591
39035109301,1990,132,7.158513997,0.042474016,1.722061477
39035109301,2000,114,7.073269717,0.064823209,2.064454787
39035109301,2010,299,8.149601736,0.384166667,3.9112
39035109701,1970,115,6.670766321,0.94417722,3.764365747
39035109701,1980,188,7.389563954,0.025112339,7.180312508
39035109701,1990,7,5.187385806,0.049666667,1.448380353
39035109701,2000,5,5.049856007,0.095440495,0.874847982
39035109701,2010,262,7.980707821,0.474642757,4.4534
39035109801,1970,52,7.140453043,0.998769609,1.202997237
39035109801,1980,111,7.304515946,0.047969942,4.169318896
39035109801,1990,72,7.451822237,0.021365798,5.459452177
39035109801,2000,105,7.635786861,0.029880241,5.92115808
39035109801,2010,151,7.147559271,0.83557394,1.9072
39035110501,1970,70,6.732210706,0.037298782,3.458420224
39035110501,1980,92,7.111512116,0.047969973,4.16931865
39035110501,1990,121,7.707512195,0.011758048,3.96918459
39035110501,2000,130,7.827639546,0.017204564,4.445736187
39035110501,2010,166,7.325148958,0.793682527,2.5738
39035110801,1970,97,7.31521839,0.012783999,4.112807082
39035110801,1980,144,7.497207223,0.621350366,3.527808053
39035110801,1990,142,6.64898455,0.005934783,4.343910107
39035110801,2000,85,6.751101469,0.024040859,4.859376351
39035110801,2010,337,7.980365765,0.459166191,3.043
39035110901,1970,77,7.455298486,0.002417447,4.530399114
39035110901,1980,294,7.816013839,0.183363594,2.975437797
39035110901,1990,77,7.021976423,0.007891024,3.365600102
39035110901,2000,69,7.112327445,0.016587781,4.535507902
39035110901,2010,279,7.846980982,0.065981148,4.7699
39035111202,1970,215,7.842278779,0.514793753,3.621922286
39035111202,1980,61,7.370860167,0.090253545,5.497411132
39035111202,1990,198,7.543802868,0.044368601,3.102232954
39035111202,2000,234,7.487733761,0.047619048,3.78090849
39035111202,2010,373,8.06652149,0.333016563,4.0505
39035111401,1970,51,6.376726948,0.73824113,3.684808259
39035111401,1980,191,7.887959337,0.136182113,3.156473027
39035111401,1990,139,7.250635512,0.007838014,3.654605569
39035111401,2000,147,7.183111702,0.014454165,3.818934692
39035111401,2010,197,7.427144133,0.109180423,4.3132
39035111500,1970,71,7.021976423,0.018591348,4.090423773
39035111500,1980,89,6.988413182,0.048208007,5.343668914
39035111500,1990,134,7.244941546,0.119591141,3.01928278
39035111500,2000,183,7.264030143,0.220502901,3.186963744
39035111500,2010,162,7.404279118,0.506531592,2.1917
39035111600,1970,62,7.010311867,0.020058352,4.119945874
39035111600,1980,169,7.622663951,0.048208074,5.343669062
39035111600,1990,160,7.641084249,0.0101187,4.29884032
39035111600,2000,219,7.748460024,0.015970962,4.824911739
39035111600,2010,141,7.264730178,0.142683298,4.166
39035111700,1970,82,7.210818453,0.020115734,4.421457493
39035111700,1980,148,7.501082124,0.02263168,7.54204791
39035111700,1990,73,6.848005275,0.002918685,4.343055585
39035111700,2000,89,7.109879463,0.016637516,4.411529666
39035111700,2010,281,7.54802897,0.114939816,3.1261
39035111800,1970,137,7.140453043,0.568249258,3.103080103
39035111800,1980,27,6.943122423,0.077142515,7.981951997
39035111800,1990,131,7.17395832,0.119561607,4.145622438
39035111800,2000,165,7.170119543,0.127025037,4.014830966
39035111800,2010,233,7.341483852,0.583762496,3.5519
39035111902,1970,148,7.025538315,0.435425043,3.487401285
39035111902,1980,33,7.323170718,0.142299557,5.907498603
39035111902,1990,142,7.401841579,0.045866667,4.281701858
39035111902,2000,102,7.390181428,0.057127312,3.843345061
39035111902,2010,129,6.993932975,0.665444173,3.5
39035112100,1970,279,7.448916103,0.784889926,2.823160613
39035112100,1980,21,6.882437471,0.140175895,5.920828076
39035112100,1990,49,6.876264612,0.073072265,3.818106451
39035112100,2000,102,7.157735484,0.084295208,4.002319119
39035112100,2010,175,7.264030143,0.759757943,1.9517
39035112200,1970,99,7.310550159,0.979068589,3.204729125
39035112200,1980,72,7.654917048,0.358968079,4.674756025
39035112200,1990,145,7.438971592,0.14072194,4.078782463
39035112200,2000,177,7.442492723,0.162889518,3.476944202
39035112200,2010,193,7.228388452,0.436350523,3.5753
39035112301,1970,439,7.678788998,0.92194524,1.679745069
39035112301,1980,32,7.010311867,0.095729534,5.911563622
39035112301,1990,679,7.815610532,0.013760482,3.5757686
39035112301,2000,793,8.056743775,0.032446897,3.709394697
39035112301,2010,279,7.230563153,0.344041838,3.0275
39035112400,1970,480,7.656337166,0.989574849,1.672231587
39035112400,1980,22,7.410951876,0.036176808,5.621166683
39035112400,1990,181,7.682482447,0.018707333,3.467579926
39035112400,2000,251,7.863266724,0.098732593,3.502213227
39035112400,2010,284,7.797702036,0.552511416,3.0768
39035112500,1970,261,7.387709239,0.980146913,1.952648447
39035112500,1980,61,7.648739789,0.047338006,6.04505681
39035112500,1990,189,7.726212651,0.01752988,3.131882491
39035112500,2000,197,7.812378206,0.147773973,3.588324175
39035112500,2010,279,7.822444729,0.309401426,3.7639
39035112600,1970,56,6.725033642,0.991121342,1.646125866
39035112600,1980,15,7.146772179,0.028553421,6.82499216
39035112600,1990,156,7.229838778,0.021359975,3.235752762
39035112600,2000,210,7.494430215,0.06656901,3.431680816
39035112600,2010,183,7.171656823,0.186587908,3.9659
39035112800,1970,387,7.595387279,0.965546942,1.507210323
39035112800,1980,32,7.356279877,0.021493449,6.53905243
39035112800,1990,128,7.032624261,0.021359975,3.235752593
39035112800,2000,172,7.297091005,0.066569058,3.43168068
39035112800,2010,226,7.443663683,0.652981172,2.9448
39035113101,1970,480,8.299783172,0.928291883,2.20228292
39035113101,1980,90,7.509335266,0.048965397,12.59442269
39035113101,1990,170,7.63336965,0.023373342,3.25493666
39035113101,2000,222,7.800982071,0.048030221,3.549684647
39035113101,2010,164,7.198931241,0.487813251,2.6134
39035113500,1970,134,7.448916103,0.997592998,2.243457881
39035113500,1980,25,6.508769137,0.240023216,15.72149298
39035113500,1990,547,7.253470383,0.014822657,2.97232347
39035113500,2000,721,7.611347717,0.025274725,3.608563928
39035113500,2010,257,7.713784617,0.208900825,3.7652
39035113600,1970,82,7.092573716,0.97280424,2.181634128
39035113600,1980,49,7.172424577,0.03547252,9.474426963
39035113600,1990,176,7.17930797,0.018447615,3.651863294
39035113600,2000,136,7.218909708,0.039901019,3.319687502
39035113600,2010,333,7.684324068,0.246147607,2.9976
39035113801,1970,275,7.776115477,0.985669377,1.454459348
39035113801,1980,25,7.154615357,0.086409386,5.698477867
39035113801,1990,166,7.349873705,0.019818332,3.328460627
39035113801,2000,181,7.436617265,0.030907278,3.623038418
39035113801,2010,59,7.002155954,0.837837838,3.5507
39035114100,1970,151,7.334981879,0.970591357,2.569141499
39035114100,1980,39,7.037027615,0.024180252,6.299675298
39035114100,1990,148,7.671360923,0.015407508,3.365058098
39035114100,2000,197,7.760893196,0.039652568,3.711970665
39035114100,2010,209,7.344072851,0.08442548,4.3939
39035114300,1970,120,7.056175284,0.98793185,2.387759756
39035114300,1980,53,7.340186835,0.024180286,6.299675093
39035114300,1990,154,7.443663683,0.011516785,3.87894789
39035114300,2000,142,7.587310506,0.021567837,4.378655899
39035114300,2010,231,7.374629015,0.221938051,3.4189
39035114501,1970,491,8.176953868,0.687578686,2.595696827
39035114501,1980,52,7.78113851,0.091728039,5.237697199
39035114501,1990,224,7.393263095,0.013676276,3.961835655
39035114501,2000,191,7.491087594,0.035406476,4.117133717
